subscribers,company,jobTitle,schoolDegree,skill1,skill2,skill3,skill4,skill5,skill6
380,Microsoft,Software Engineer,Master's Degree,Python,,C,Bigdata_and_AI,Software,
1383,Amazon,Software Engineer,Master's Degree,,C,HTML,Research,Programming,Software
683,Microsoft,Software Engineer,Master's Degree,,C,Machine_Learning,Web_Development,Research,
1472,Microsoft,Software Engineer,Master's Degree,,Python,C,Android_Development,,Machine_Learning
438,Amazon,Software Engineer,Master's Degree,,HTML,CSS,Cloud_Computing,Android_Development,JavaScript
352,Microsoft,Software Engineer,Master's Degree,Leadership,,JavaScript,,Web_Development,HTML
763,Amazon,Software Engineer,Bachelor's Degree,Python,,,Machine_Learning,,
486,Amazon,Software Engineer,Master's Degree,,Java,C,Bigdata_and_AI,Matlab,Python
426,Facebook,Software Engineer,Master's Degree,C,,SQL,Web_Development,,HTML
547,Facebook,Software Engineer,Bachelor's Degree,Python,C,Java,Programming,,Software
886,Amazon,Software Engineer,Master's Degree,Web_Development,,JavaScript,Data_Structure,Programming,
747,Microsoft,Software Engineer,Master's Degree,Java,JavaScript,C,Data_Structure,Bigdata_and_AI,Software
505,Microsoft,Software Engineer,Master's Degree,,,Python,,Machine_Learning,Bigdata_and_AI
421,Amazon,Software Engineer,Master's Degree,Java,C,SQL,Web_Development,Bigdata_and_AI,Data_Structure
600,Amazon,Software Engineer,Master's Degree,Software,,Java,Data_Structure,,Bigdata_and_AI
720,Facebook,Software Engineer,Bachelor's Degree,,,JavaScript,Machine_Learning,Web_Development,
1656,Amazon,Software Engineer,Master's Degree,,C,Python,Software,Management,Research
422,Amazon,Software Engineer,Master's Degree,,HTML,C,Web_Development,,Machine_Learning
273,Amazon,Software Engineer,Bachelor's Degree,Java,C,JavaScript,Web_Development,,
371,Google,Software Engineer,Master's Degree,Java,JavaScript,,Software,,
667,Microsoft,Software Engineer,Master's Degree,SQL,Java,Programming,Web_Development,,Software
2770,Facebook,Software Engineer,Master's Degree,Software,Leadership,,Machine_Learning,,Bigdata_and_AI
1052,Microsoft,Software Engineer,Master's Degree,Python,Java,SQL,Bigdata_and_AI,Machine_Learning,Software
530,Microsoft,Software Engineer,Bachelor's Degree,C,,Microsoft,Web_Development,Software,Programming
1005,Amazon,Software Engineer,Bachelor's Degree,C,Python,,Web_Development,Bigdata_and_AI,Data_Structure
719,Google,Software Engineer,other education,JavaScript,HTML,CSS,Software,Programming,Web_Development
798,Amazon,Software Engineer,Master's Degree,Java,C,,,,Web_Development
1441,Amazon,Software Engineer,Master's Degree,Java,Python,Machine_Learning,Web_Development,Programming,
2374,Microsoft,Software Engineer,other education,,JavaScript,,Web_Development,,CSS
839,Amazon,Software Engineer,Master's Degree,,Python,Java,,Research,
421,Google,Software Engineer,Bachelor's Degree,Microsoft,Java,Python,,,Research
966,Microsoft,Software Engineer,other education,,C,Java,Data_Mining,Machine_Learning,
473,Facebook,Software Engineer,Doctoral Degree,Software,,Python,Android_Development,,Web_Development
486,Amazon,Software Engineer,Bachelor's Degree,Java,Python,JavaScript,Research,,Microsoft
2102,Microsoft,Software Engineer,other education,,JavaScript,,,HTML,
656,Microsoft,Software Engineer,Master's Degree,C,,,Web_Development,Web_Application,Software
304,Microsoft,Software Engineer,Master's Degree,Java,,,Android_Development,,
283,Facebook,Software Engineer,Bachelor's Degree,Java,Android_Development,Data_Analysis,Research,,C
715,Google,Software Engineer,Bachelor's Degree,Web_Development,Java,,JavaScript,,CSS
618,Microsoft,Software Engineer,Doctoral Degree,,Java,,Software,Web_Development,
627,Microsoft,Software Engineer,Master's Degree,,Web_Development,Java,Android_Development,Programming,
365,Amazon,Software Engineer,Master's Degree,Java,Python,,Software,JavaScript,HTML
12572,Google,Software Engineer,Bachelor's Degree,,,Web_Development,,Bigdata_and_AI,
1296,Amazon,Software Engineer,Master's Degree,C,Java,Data_Structure,Bigdata_and_AI,Programming,
614,,Software Engineer,Bachelor's Degree,Java,,C,Data_Analysis,JavaScript,HTML
357,Amazon,Software Engineer,Bachelor's Degree,Java,,Python,Machine_Learning,Software,JavaScript
1106,Microsoft,Software Engineer,other education,Leadership,,Web_Development,Programming,,
1046,Amazon,Software Engineer,Master's Degree,Python,C,SQL,,,
348,Microsoft,Software Engineer,Bachelor's Degree,C,Java,Programming,,,
129,Amazon,Software Engineer,Bachelor's Degree,Bigdata_and_AI,Machine_Learning,Programming,Software,Web_Development,
261,Microsoft,Software Engineer,Bachelor's Degree,,C,,Web_Development,,JavaScript
709,Amazon,Software Engineer,Master's Degree,Java,Android_Development,JavaScript,Software,Web_Development,
763,Google,Software Engineer,Master's Degree,,C,,,Bigdata_and_AI,Software
1318,Amazon,Software Engineer,Master's Degree,Bigdata_and_AI,Research,SQL,Software,Programming,Data_Structure
428,Amazon,Software Engineer,Bachelor's Degree,Java,,Python,JavaScript,,HTML
2910,Facebook,Software Engineer,other education,,,JavaScript,,Web_Development,Data_Structure
684,Amazon,Software Engineer,Master's Degree,,JavaScript,,Web_Application,Web_Development,Android_Development
694,Amazon,Software Engineer,other education,Java,Programming,,,Marketing,
779,Amazon,Software Engineer,Master's Degree,Python,Bigdata_and_AI,,Data_Analysis,,Data_Structure
462,Google,Software Engineer,other education,Java,Web_Application,,,,HTML
569,Amazon,Software Engineer,Doctoral Degree,C,Python,Java,Bigdata_and_AI,Data_Analysis,Web_Development
1304,Amazon,Software Engineer,Bachelor's Degree,,Management,,Web_Application,,Software
2617,Amazon,Software Engineer,Master's Degree,Java,,Hadoop,Bigdata_and_AI,,Programming
275,Microsoft,Software Engineer,Master's Degree,,SQL,JavaScript,Software,,C
773,Amazon,Software Engineer,Master's Degree,Java,Python,Programming,Android_Development,Software,Web_Development
927,Amazon,Software Engineer,Bachelor's Degree,Analytics,,,,SQL,JavaScript
1098,Amazon,Software Engineer,Bachelor's Degree,,Web_Development,Leadership,Software,Java,HTML
1819,Microsoft,Software Engineer,other education,,,JavaScript,Research,Programming,Software
142,Amazon,Software Engineer,other education,Software,JavaScript,,Web_Development,Web_Application,HTML
140,Amazon,Software Engineer,Bachelor's Degree,,,Web_Application,Web_Development,Management,
79,,Software Engineer,Master's Degree,Programming,Python,Software,Web_Development,C,Matlab
186,Microsoft,Software Engineer,Master's Degree,,,,Data_Analysis,Machine_Learning,Python
2431,,Software Engineer,other education,,Management,Leadership,,,
1119,Microsoft,Software Engineer,other education,,C,,,,Software
493,Amazon,Software Engineer,Bachelor's Degree,Java,Strategy,C,Web_Development,Marketing,
541,Amazon,Software Engineer,Bachelor's Degree,,,,,,Management
373,Amazon,Software Engineer,Master's Degree,,,,Web_Development,,Management
202,Amazon,Software Engineer,other education,,,JavaScript,Web_Development,Software,Web_Application
739,Amazon,Software Engineer,Master's Degree,Research,Leadership,,,Bigdata_and_AI,Data_Analysis
929,Google,Software Engineer,Master's Degree,Machine_Learning,Python,Java,,Web_Development,Programming
183,Amazon,Software Engineer,Bachelor's Degree,,JavaScript,Java,,,Web_Development
613,Microsoft,Software Engineer,Bachelor's Degree,JavaScript,,Web_Application,Web_Development,,
1506,Google,Software Engineer,Bachelor's Degree,JavaScript,HTML,CSS,,Web_Development,Web_Application
338,Facebook,Software Engineer,Master's Degree,Java,Python,Software,,,
92,Amazon,Software Engineer,Master's Degree,Java,SQL,,Microsoft,Python,C
359,Google,Software Engineer,Bachelor's Degree,,,SQL,Web_Development,Web_Application,HTML
539,Amazon,Software Engineer,Master's Degree,,Java,C,,,
1435,Amazon,Software Engineer,Master's Degree,Web_Development,Data_Structure,Java,Software,Machine_Learning,Management
1776,Amazon,Software Engineer,Master's Degree,,Python,Programming,Data_Structure,Bigdata_and_AI,C
460,Amazon,Software Engineer,Master's Degree,Java,,JavaScript,Programming,Bigdata_and_AI,Software
357,Microsoft,Software Engineer,Bachelor's Degree,Java,C,Microsoft,,Web_Development,Research
584,,Software Engineer,other education,,HTML,,,Web_Development,
258,Google,Software Engineer,other education,,,JavaScript,,,Web_Development
1475,Microsoft,Software Engineer,Bachelor's Degree,Java,C,,Android_Development,Software,Data_Analysis
366,Facebook,Software Engineer,Bachelor's Degree,C,,Microsoft,Programming,,Bigdata_and_AI
1749,Google,Software Engineer,Master's Degree,Java,Python,JavaScript,Software,,Web_Development
540,Microsoft,Software Engineer,Master's Degree,C,,Java,Software,Machine_Learning,Web_Development
243,Amazon,Software Engineer,Bachelor's Degree,Java,Python,Machine_Learning,,,
691,Microsoft,Software Engineer,Bachelor's Degree,,JavaScript,,Web_Development,,Research
359,Google,Software Engineer,Master's Degree,,JavaScript,,Data_Analysis,,Web_Development
3963,Amazon,Software Engineer,Bachelor's Degree,Web_Development,,,,Management,
7490,Amazon,Software Engineer,Bachelor's Degree,Java,,Web_Application,Data_Analysis,,JavaScript
692,Google,Software Engineer,Bachelor's Degree,HTML,,,,,
80,Amazon,Software Engineer,other education,,,SQL,Web_Development,Python,HTML
1660,Google,Software Engineer,Master's Degree,,,,,Web_Development,Programming
1891,,Software Engineer,Master's Degree,C,JavaScript,Java,,Web_Development,Software
779,Facebook,Software Engineer,Master's Degree,,JavaScript,Java,Web_Development,,
1536,Amazon,Software Engineer,Master's Degree,,Data_Structure,,Web_Development,Java,
182,Microsoft,Software Engineer,Bachelor's Degree,,,C,Web_Development,JavaScript,
98,Amazon,Software Engineer,Master's Degree,Java,Python,JavaScript,Data_Mining,Software,
680,Amazon,Software Engineer,Bachelor's Degree,,C,SQL,Data_Structure,Android_Development,
2661,Facebook,Software Engineer,Master's Degree,Machine_Learning,Java,,,Data_Mining,Android_Development
3057,Google,Software Engineer,Master's Degree,Java,,,,JavaScript,SQL
884,Amazon,Software Engineer,Master's Degree,Python,Java,,,Web_Development,C
237,Amazon,Software Engineer,Master's Degree,,Java,SQL,Data_Analysis,Management,
288,Amazon,Software Engineer,Master's Degree,Python,Matlab,C,Machine_Learning,,Bigdata_and_AI
403,Microsoft,Software Engineer,Master's Degree,Java,,C,Research,Management,
363,Facebook,Software Engineer,Master's Degree,Java,JavaScript,SQL,,,C
48459,Google,Software Engineer,Bachelor's Degree,Software,,C,,JavaScript,Microsoft
591,Amazon,Software Engineer,Master's Degree,Java,,,Web_Development,,JavaScript
255,,Software Engineer,Master's Degree,,C,JavaScript,Web_Development,,Software
582,Facebook,Software Engineer,Master's Degree,JavaScript,CSS,Web_Development,,,HTML
508,Amazon,Software Engineer,Bachelor's Degree,Java,Python,,,,Leadership
588,Facebook,Software Engineer,Bachelor's Degree,C,JavaScript,Software,Programming,Data_Structure,Bigdata_and_AI
817,Amazon,Software Engineer,Master's Degree,Java,,JavaScript,Programming,,
726,Amazon,Software Engineer,Master's Degree,C,JavaScript,,,Data_Analysis,Statistics
648,Microsoft,Software Engineer,Bachelor's Degree,,C,Python,Software,Data_Structure,Web_Development
696,Amazon,Software Engineer,Master's Degree,Java,JavaScript,,Programming,Web_Development,SQL
216,Amazon,Software Engineer,other education,HTML,,JavaScript,,Web_Development,
394,Facebook,Software Engineer,other education,,,,,Marketing,
262,Microsoft,Software Engineer,other education,Java,Programming,Python,Research,Bigdata_and_AI,Machine_Learning
737,Amazon,Software Engineer,Bachelor's Degree,Java,CSS,C,Research,Web_Development,Programming
1043,Microsoft,Software Engineer,Master's Degree,Management,,Software,,,
4642,Google,Software Engineer,Master's Degree,,,,Web_Development,Cloud_Computing,Bigdata_and_AI
464,Amazon,Software Engineer,Bachelor's Degree,Java,,Python,,,
1467,Facebook,Software Engineer,Master's Degree,C,Java,Matlab,,Bigdata_and_AI,Software
451,Facebook,Software Engineer,Bachelor's Degree,,C,,,Android_Development,Web_Development
824,Google,Software Engineer,Master's Degree,Python,Java,,Machine_Learning,Statistics,Bigdata_and_AI
1795,Amazon,Software Engineer,other education,,,Web_Development,,,
296,Amazon,Software Engineer,Master's Degree,SQL,Java,,,Web_Development,
390,Amazon,Software Engineer,Bachelor's Degree,Python,Machine_Learning,Java,Web_Development,Management,Programming
136,Amazon,Software Engineer,Bachelor's Degree,Java,SQL,Web_Development,Programming,Bigdata_and_AI,Data_Structure
397,Google,Software Engineer,Bachelor's Degree,Python,,,,,
637,Amazon,Software Engineer,other education,,Management,Microsoft,Strategy,Web_Development,
1070,Facebook,Software Engineer,Bachelor's Degree,JavaScript,Web_Development,,Programming,Management,
125,Amazon,Software Engineer,Bachelor's Degree,,JavaScript,Web_Development,Android_Development,Python,Java
1484,Amazon,Software Engineer,Bachelor's Degree,,C,JavaScript,,,
3809,Google,Software Engineer,Master's Degree,Java,C,HTML,,Cloud_Computing,
571,Facebook,Software Engineer,other education,CSS,HTML,Web_Development,,,Management
1072,Amazon,Software Engineer,Bachelor's Degree,Machine_Learning,,Leadership,,Web_Development,Marketing
860,Microsoft,Software Engineer,Master's Degree,Java,JavaScript,SQL,Web_Development,Android_Development,Programming
2718,Amazon,Software Engineer,Master's Degree,Web_Development,Java,Data_Structure,Android_Development,Machine_Learning,
258,,Software Engineer,Master's Degree,Java,C,Bigdata_and_AI,Web_Development,Cloud_Computing,Data_Science
1053,Facebook,Software Engineer,Master's Degree,,Web_Development,Leadership,Machine_Learning,Programming,C
271,Amazon,Software Engineer,Master's Degree,Software,Web_Development,Research,,Strategy,
991,Facebook,Software Engineer,Bachelor's Degree,Java,JavaScript,HTML,Android_Development,Web_Development,
419,Amazon,Software Engineer,Master's Degree,Java,C,Programming,Data_Structure,Machine_Learning,
7990,Amazon,Software Engineer,Master's Degree,Java,C,Python,Web_Development,Management,Programming
1002,Facebook,Software Engineer,Master's Degree,,JavaScript,,Web_Application,,Web_Development
566,Amazon,Software Engineer,Master's Degree,Java,Python,,Web_Development,Data_Analysis,Bigdata_and_AI
11565,,Software Engineer,Bachelor's Degree,,Web_Development,JavaScript,Web_Application,Machine_Learning,Marketing
321,Microsoft,Software Engineer,Master's Degree,Java,Programming,Microsoft,Machine_Learning,Bigdata_and_AI,Research
1521,Microsoft,Software Engineer,other education,C,JavaScript,,,,Programming
2559,Microsoft,Software Engineer,Master's Degree,JavaScript,Java,Web_Application,Management,Web_Development,Analytics
2007,Amazon,Software Engineer,Master's Degree,Java,Python,JavaScript,,,
5579,Facebook,Software Engineer,other education,,Web_Application,C,Web_Development,Analytics,
366,Amazon,Software Engineer,Master's Degree,Java,,JavaScript,Web_Development,Software,
635,Facebook,Software Engineer,Bachelor's Degree,Java,C,Web_Development,Software,Android_Development,Machine_Learning
793,Facebook,Software Engineer,Bachelor's Degree,C,,Android_Development,,Machine_Learning,Bigdata_and_AI
1988,Microsoft,Software Engineer,other education,JavaScript,CSS,Python,Programming,Web_Development,HTML
1126,Amazon,Software Engineer,Master's Degree,Python,C,Java,Programming,Software,
1862,,Software Engineer,other education,,Web_Development,,,,Management
838,Google,Software Engineer,Master's Degree,C,Python,Java,,,
387,Google,Software Engineer,Master's Degree,,JavaScript,SQL,,,
478,Amazon,Software Engineer,Master's Degree,,JavaScript,Java,,,Software
229,Amazon,Software Engineer,Master's Degree,CSS,Java,SQL,,,
31,Amazon,Software Engineer,other education,Web_Development,Leadership,Management,HTML,CSS,
575,Amazon,Software Engineer,Bachelor's Degree,,Java,JavaScript,Web_Application,Microsoft,HTML
229,Amazon,Software Engineer,Master's Degree,Java,Software,Web_Development,,,
1151,Amazon,Software Engineer,Master's Degree,Web_Development,Programming,Data_Structure,Android_Development,,Machine_Learning
1072,Amazon,Software Engineer,Master's Degree,Java,,C,Data_Structure,Bigdata_and_AI,
1182,Amazon,Software Engineer,Master's Degree,Python,HTML,CSS,Machine_Learning,Web_Development,Programming
982,Google,Software Engineer,Master's Degree,Java,,JavaScript,Web_Development,,SQL
294,Amazon,Software Engineer,Bachelor's Degree,,,,Web_Application,,Web_Development
70,Amazon,Software Engineer,Bachelor's Degree,Python,Java,Web_Development,,,
1279,Amazon,Software Engineer,Bachelor's Degree,JavaScript,Java,,Web_Development,Management,Microsoft
2681,Facebook,Software Engineer,Bachelor's Degree,,,JavaScript,,,Web_Development
177,Facebook,Software Engineer,Bachelor's Degree,,,C,Web_Development,,
804,Amazon,Software Engineer,Bachelor's Degree,Web_Development,,,,,
217,Microsoft,Software Engineer,Bachelor's Degree,Java,,C,,,
1797,Amazon,Software Engineer,Master's Degree,,,C,Android_Development,Web_Development,Management
2845,Microsoft,Software Engineer,Master's Degree,,Programming,C,Data_Structure,,Web_Development
331,Amazon,Software Engineer,Bachelor's Degree,Java,,Cloud_Computing,Data_Structure,Software,
83,Microsoft,Software Engineer,Master's Degree,Python,HTML,CSS,Web_Development,Programming,Java
453,Facebook,Software Engineer,other education,,Web_Development,,,SQL,CSS
363,Facebook,Software Engineer,Bachelor's Degree,Java,,Microsoft,Python,,
125,Amazon,Software Engineer,Bachelor's Degree,,CSS,HTML,Web_Development,,JavaScript
1205,Amazon,Software Engineer,Master's Degree,Java,Programming,SQL,Software,,Data_Structure
99,Amazon,Software Engineer,Bachelor's Degree,,,,Software,Programming,Web_Development
1105,Microsoft,Software Engineer,Bachelor's Degree,,Web_Development,Software,,,
404,Microsoft,Software Engineer,Master's Degree,,,JavaScript,Machine_Learning,Web_Development,CSS
888,Amazon,Software Engineer,Bachelor's Degree,Java,JavaScript,HTML,,,
928,Facebook,Software Engineer,Master's Degree,Java,,Web_Development,Data_Analysis,Android_Development,JavaScript
718,Amazon,Software Engineer,other education,,CSS,JavaScript,Web_Development,,HTML
2022,Microsoft,Software Engineer,Master's Degree,Java,,,Programming,,
1862,Facebook,Software Engineer,Bachelor's Degree,Java,,JavaScript,Bigdata_and_AI,,
339,Microsoft,Software Engineer,Master's Degree,Java,HTML,CSS,Data_Structure,Programming,JavaScript
158,Amazon,Software Engineer,Bachelor's Degree,,JavaScript,Python,HTML,,
747,Facebook,Software Engineer,other education,,Microsoft,,,Management,
613,Amazon,Software Engineer,Master's Degree,Java,Software,Web_Development,Machine_Learning,Bigdata_and_AI,
748,Amazon,Software Engineer,Master's Degree,Java,C,CSS,,Web_Development,Programming
3155,Amazon,Software Engineer,Master's Degree,,,Web_Application,Web_Development,,Programming
266,Google,Software Engineer,Master's Degree,Python,Java,,Bigdata_and_AI,Data_Structure,Programming
472,Amazon,Software Engineer,Master's Degree,Java,Software,,Bigdata_and_AI,Data_Structure,Programming
452,Facebook,Software Engineer,Bachelor's Degree,,Web_Application,Web_Development,Android_Development,,JavaScript
808,Facebook,Software Engineer,Master's Degree,Machine_Learning,Data_Structure,,,Marketing,Bigdata_and_AI
113,,Software Engineer,Master's Degree,Android_Development,Web_Application,Java,JavaScript,,
1602,Amazon,Software Engineer,Master's Degree,Java,,Data_Structure,,,
462,Microsoft,Software Engineer,Master's Degree,JavaScript,Java,,HTML,CSS,Microsoft
1021,Amazon,Software Engineer,Master's Degree,Python,Java,JavaScript,,Machine_Learning,Management
936,Google,Software Engineer,other education,Web_Development,,JavaScript,,,
814,Amazon,Software Engineer,Bachelor's Degree,Java,,HTML,,Software,Marketing
1446,Google,Software Engineer,Master's Degree,,Java,C,Cloud_Computing,Data_Structure,Web_Development
1655,Facebook,Software Engineer,Master's Degree,Python,Machine_Learning,Software,Programming,Data_Structure,Web_Development
270,Microsoft,Software Engineer,Bachelor's Degree,,,Microsoft,,,
355,Microsoft,Software Engineer,Master's Degree,Python,,SQL,Software,Web_Development,
101,,Software Engineer,other education,Java,Web_Development,,,,
360,Facebook,Software Engineer,Bachelor's Degree,Java,SQL,,Software,C,
469,Facebook,Software Engineer,other education,,JavaScript,Web_Development,,,Management
591,Facebook,Software Engineer,Bachelor's Degree,Java,JavaScript,C,Machine_Learning,Bigdata_and_AI,
3430,Facebook,Software Engineer,Master's Degree,,,JavaScript,,Software,
1174,Microsoft,Software Engineer,Master's Degree,Java,Web_Application,Management,Bigdata_and_AI,Web_Development,Data_Analysis
579,Amazon,Software Engineer,Master's Degree,Java,Web_Development,Data_Structure,,,
791,Amazon,Software Engineer,Master's Degree,Java,Python,Machine_Learning,Software,Research,Data_Analysis
975,Amazon,Software Engineer,Master's Degree,,C,,Software,,
569,Amazon,Software Engineer,Master's Degree,JavaScript,Java,SQL,Programming,Data_Analysis,Web_Application
385,Amazon,Software Engineer,Master's Degree,Java,C,Machine_Learning,,,
620,Microsoft,Software Engineer,Master's Degree,HTML,CSS,JavaScript,,Web_Development,
1844,Amazon,Software Engineer,Master's Degree,,,Java,Programming,,JavaScript
164,Amazon,Software Engineer,Bachelor's Degree,Java,JavaScript,Python,Web_Development,Programming,
748,Microsoft,Software Engineer,Master's Degree,Java,Python,Bigdata_and_AI,,,
418,Amazon,Software Engineer,Master's Degree,Java,,,Cloud_Computing,,
1448,Amazon,Software Engineer,Master's Degree,Software,Java,C,Android_Development,,SQL
914,Amazon,Software Engineer,Master's Degree,SQL,Java,JavaScript,,Web_Development,
521,Google,Software Engineer,Master's Degree,SQL,,C,,,
